ΗΜΕΡΑ,ΩΡΑ ΕΝΑΡΞΗΣ,ΩΡΑ ΛΗΞΗΣ,ΜΑΘΗΜΑ,ΑΙΘΟΥΣΑ,ΔΙΔΑΣΚΩΝ/ΟΥΣΑ
Δευτέρα,16:00,18:00,Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Αίθουσα 2,Α. Τσώχου
Δευτέρα,18:00,20:00,Ηλεκτρονική Διακυβέρνηση,Αίθουσα 2,Π. Κουρουθανάσης
Τρίτη,9:00,11:00,Ηλεκτρονική Διακυβέρνηση,Αίθουσα 2,Π. Κουρουθανάσης
Τρίτη,11:00,13:00,Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Αίθουσα 2,Α. Τσώχου
Τρίτη,13:00,15:00,Παράλληλος Προγραμματισμός,Εργαστήριο Αρεταίος,Μ. Στεφανιδάκης
Τρίτη,15:00,17:00,Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Εργαστήριο Γαληνός,Κ. Κερμανίδου
Τρίτη,17:00,19:00,Επεξεργασία Ομιλίας και Ήχου,Αίθουσα 1,Ι. Καρύδης
Τετάρτη,11:00,13:00,Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Αίθουσα 2,Α. Πατέλη
Τετάρτη,13:00,15:00,Κοινωνικός και Σημασιολογικός Ιστός,Αίθουσα 2,Φ. Μυλωνάς
Τετάρτη,15:00,17:00,Παράλληλος Προγραμματισμός,Εργαστήριο Αρεταίος,Μ. Στεφανιδάκης
Τετάρτη,17:00,19:00,Επεξεργασία Ομιλίας και Ήχου,Εργαστήριο Γαληνός,Ι. Καρύδης
Πέμπτη,11:00,13:00,Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Αίθουσα 1,Θ. Έξαρχος
Πέμπτη,13:00,15:00,Κοινωνικός και Σημασιολογικός Ιστός,Εργαστήριο Αρεταίος,Μ. Στεφανιδάκης
Πέμπτη,15:00,17:00,Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Αίθουσα 1,Α. Πατέλη
Πέμπτη,17:00,19:00,Αποθήκες Δεδομένων και Εξόρυξη Γνώσης,Εργαστήριο Αρεταίος,Ι. Καρύδης
Πέμπτη,19:00,21:00,Έξυπνα Περιβάλλοντα και Εφαρμογές,Αίθουσα 2,Κ. Χωριανόπουλος
Παρασκευή,19:00,21:00,Έξυπνα Περιβάλλοντα και Εφαρμογές,Αίθουσα 2,Κ. Χωριανόπουλος
